nombramiento,PLAZA,IdPuesto,ClavePuesto,Puesto,,,,,,,
1754,ECB-99-02-001-011-CF-00001,49,48,JEFE DE MATERIA,,,,,ECB-01-03-002-041-CF-00001,1,11
1755,ECB-99-02-001-011-CF-00002,49,48,JEFE DE MATERIA,,,,,ECB-01-03-002-014-CF-00026,2,15
1750,ECB-99-02-001-011-CF-00003,48,47,JEFA DE MATERIA,,,,,ECB-01-03-002-014-CF-00015,3,14
1749,ECB-99-02-001-011-CF-00004,49,48,JEFE DE MATERIA,,,,,ECB-01-03-002-014-CF-00013,4,12
1753,ECB-99-02-001-011-CF-00005,49,48,JEFE DE MATERIA,,,,,ECB-01-03-002-014-CF-00014,5,13
1789,ECB-99-02-002-041-CF-00004,12,11,ALMACENISTA,,,,,ECB-01-03-002-015-CF-00016,6,19
1890,ECB-99-02-002-015-CF-00074,14,13,ANALISTA ADMINISTRATIVO,,,,,ECB-01-03-002-015-CF-00004,7,16
7,ECB-01-03-002-015-CF-00004,78,77,AUXILIAR DE SERVICIOS ESCOLARES,,,,,ECB-01-03-002-015-CF-00012,8,17
54,ECB-02-02-002-028-CF-00003,106,105,SECRETARIA DE SUBDIRECCION DE PLANTEL,,,,,ECB-01-03-002-015-CF-00015,9,18
2745,ECB-03-02-002-012-CF-00004,96,95,INGENIERO EN SISTEMAS,,,,,ECB-01-03-002-018-CF-00004,10,20
79,ECB-03-02-002-015-CF-00131,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-01-03-002-019-CF-00031,11,22
88,ECB-03-02-002-046-CF-00001,106,105,SECRETARIA DE SUBDIRECCION DE PLANTEL,,,,,ECB-01-03-002-019-CF-00001,12,21
#N/A,ECB-28-02-002-021-S-00010,88,87,ENCARGADO DE ORDEN,,,,,ECB-01-03-002-019-CF-00048,13,23
115,ECB-04-03-002-015-CF-00003,82,81,AUXILIAR SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-01-03-002-021-S1-00012,14,27
116,ECB-04-03-002-015-CF-00005,82,81,AUXILIAR SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-01-03-002-021-S1-00009,15,26
122,ECB-04-03-002-019-CF-00003,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-002-021-S1-00008,17,25
123,ECB-04-03-002-019-CF-00006,82,81,AUXILIAR SUBDIRECTORA ADMINISTRATIVA,,,,,ECB-01-03-002-022-CF-00004,18,28
120,ECB-04-03-002-019-CF-00007,74,73,AUXILIAR DE CONTROL ESCOLAR,,,,,ECB-01-03-002-028-CF-00005,19,29
117,ECB-04-03-002-015-CF-00009,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-01-03-002-031-CF-00008,20,31
119,ECB-04-03-002-019-CF-00008,79,78,AUXILIAR DE SUBDIRECTOR ACADEMICO,,,,,ECB-01-03-002-031-CF-00007,21,30
168,ECB-05-02-002-041-CF-00001,99,98,RESPONSABLE DE CONTROL ESCOLAR,,,,,ECB-01-03-002-046-CF-00009,22,32
174,ECB-05-02-002-019-CF-00001,106,105,SECRETARIA DE SUBDIRECCION DE PLANTEL,,,,,ECB-01-03-002-046-CF-00011,23,33
176,ECB-05-02-002-019-CF-00002,83,82,AUXILIAR DEL AREA ADMINISTRATIVA,,,,,ECB-01-03-002-037-CF-00016,25,55
175,ECB-05-02-002-019-CF-00004,70,69,AUXILIAR ACADEMICA,,,,,ECB-01-03-002-032-A0-00004,27,34
236,ECB-06-02-002-018-CF-00003,108,107,SECRETARIA DEL DIRECTOR DEL PLANTEL,,,,,ECB-01-03-002-047-T0-00010,28,36
